recipientName,count,sum_amount
,1762,"3,503,782.00"
N/A,423,"706,538.69"
Mitch McConnell,117,"577,900.00"
International Republican Institute,3,"505,000.00"
Rep. Maxine Waters,15,"346,000.00"
National Republican Senatorial Committee,119,"343,208.00"
Members of the Congressional Hispanic Caucus,7,"337,500.00"
none,118,"310,315.00"
Senator Mitch McConnell,33,"271,938.00"
NRSC,99,"270,326.00"
President George W. Bush,2,"255,000.00"
The Reagan National Defense Forum,1,"250,000.00"
Members of the Congressional Black Caucus,10,"245,000.00"
Democratic Senatorial Campaign Committee,90,"233,454.00"
Thom Tillis,118,"220,150.00"
Dem National Cmte(DNC)-Federal Acct,9,"219,000.00"
Democratic National Committee,10,"212,360.00"
Steny Hoyer,82,"209,450.00"
Cory Gardner,113,"208,920.00"
"Debbie Dingell, Richard Hudson, Johnny Isakson, Sheila Jackson Lee, Joe Manchin",1,"200,000.00"
Dem Sen Camp Cmte(DSCC)-Federal Acct,8,"197,500.00"
Rep. Doris Matsui,15,"196,750.00"
Susan Collins,98,"191,600.00"
Natl Rep Sen Cmte(NRSC)-Federal Acct,10,"190,000.00"
Congressional Black Caucus,12,"189,959.76"
Kevin McCarthy,67,"188,200.00"
None,77,"186,693.12"
Ronald Reagan,3,"175,000.00"
"Congressional Hispanic Institute, Inc. (CHCI)",2,"175,000.00"
"Rep. Ruben Gallego, Rep. Pete Aguilar, Rep. Jimmy Gomez, Rep. Raul Ruiz, M.D., Rep. Juan Vargas, Rep. Grace Flores Napolitano",1,"175,000.00"
All members of the board who are members of Congress,1,"175,000.00"
John Cornyn,108,"170,942.50"
Donald Trump,16,"167,406.00"
Mark Warner,94,"164,325.00"
Gary Peters,94,"161,440.87"
2019 CBCF Annual Legislative Conference,1,"160,000.00"
David Perdue,73,"157,000.00"
Congressional Black Caucus Institute,4,"155,000.00"
DSCC,62,"153,116.64"
Nancy Pelosi,67,"152,800.00"
Steve Scalise,68,"152,325.00"
Kevin Brady,55,"147,800.00"
Democratic Congressional Campaign Committee,34,"141,602.00"
DCCC,59,"139,717.50"
Richard Neal,62,"139,350.00"
Patrick McHenry,63,"138,800.00"
Congressional Black Caucus Members,2,"135,000.00"
"Rep. Jahana Hayes (D-CT-5), Rep. Lucy McBath (D-GA-6), Rep. Ayanna Pressley (D-MA-7), Rep. Ilhan Omar (D-MN-5), Rep. Lauren Underwood (D-IL-14)",1,"134,316.90"
Senator Tom Udall ,1,"133,789.00"
Kay Bailey Hutchison (1 of 8 people honored at event),1,"132,562.68"
Congressional Black Caucus Foundation,5,"132,500.00"
Stephanie Murphy,58,"129,750.00"
Dem Cong Camp Cmte(DCCC)-Federal Acct,9,"125,500.00"
Natl Rep Cong Cmte(NRCC)-Federal Acct,7,"125,000.00"
National Republican Congressional Committee,85,"123,550.00"
Martha McSally,56,"118,295.00"
Rep. Kevin McCarthy,34,"116,235.02"
Cheri Bustos,68,"113,975.00"
Jerry Moran,42,"113,000.00"
Bill Hagerty,48,"112,700.00"
Tom Reed,73,"112,550.00"
Charles Schumer,34,"111,000.00"
Frank Pallone,54,"110,400.00"
Congressional Hispanic Caucus Members,2,"110,000.00"
Brian Fitzpatrick,51,"109,250.00"
Congressional Hispanic Caucus,6,"107,500.00"
The Ronald Reagan Presidential Foundation & Institute,2,"107,500.00"
Sen. Mitch McConnell,39,"104,750.00"
NRCC,112,"104,700.00"
Peter DeFazio,64,"103,750.00"
Tim Scott,52,"103,200.00"
Elise Stefanik,62,"101,150.00"
Todd Young,43,"100,000.00"
Sponsorship of Rosa Parks and Women's Suffrage Exhibitions.,1,"100,000.00"
Sponsorship and support of the 2020 Library of Congress Gershwin Prize for Popular Song Concert.,1,"100,000.00"
Republican Governors Association,1,"100,000.00"
THE DEMOCRATIC CONGRESSIONAL CAMPAIGN COMMITTEE (MEMO: HEADQUARTERS/BUILDING FUND CONTRIBUTION),1,"100,000.00"
Joni Ernst,51,"98,650.00"
Steve Stivers,42,"95,800.00"
Hakeem Jeffries,50,"95,650.00"
Steven Horsford,59,"95,449.92"
Blaine Luetkemeyer,44,"94,500.00"
Doug Jones,78,"93,594.70"
Rob Portman,50,"91,850.00"
Christopher Coons,34,"91,250.00"
James Clyburn,33,"91,000.00"
Greg Walden,52,"89,050.00"
Pat Toomey,60,"86,432.45"
Kurt Schrader,57,"86,200.00"
Kyrsten Sinema,53,"85,750.00"
Cathy McMorris Rodgers,48,"85,700.00"
Terri Sewell,52,"85,534.76"
Jeanne Shaheen,55,"85,025.00"
"Reps. Ruben Gallego (Board Chair), Pete Aguilar, Jimmy Gomez, Grace Flores Napolitano, Raul Ruiz, and Juan Vargas",1,"85,000.00"
Steve Daines,62,"84,805.45"
Patty Murray,43,"84,080.00"
Roy Blunt,33,"83,500.00"
Tina Smith,51,"83,050.00"
Rodney Davis,58,"82,750.00"
Sen Charles E Schumer,25,"82,000.00"
Rep. Frank Pallone,50,"80,600.04"
Mike Thompson,46,"80,500.00"
"Congressional Hispanic Caucus Institute, Inc.",2,"80,000.00"
Kay Granger,38,"79,650.00"
Dick Durbin,47,"78,900.00"
Maxine Waters,30,"78,600.00"
Joyce Beatty,43,"77,650.00"
Ben Sasse,51,"77,500.00"
Josh Gottheimer,50,"77,175.00"
Rep Kevin McCarthy,20,"76,000.00"
Dan Sullivan,35,"75,350.00"
Republican Attorneys General Association,1,"75,000.00"
Rep Elijah Cummings (MD); Rep Karen Bass (CA); Rep David Scott (GA),1,"75,000.00"
Congressional Members of CHCI,1,"75,000.00"
Sen. Jeanne Shaheen,42,"73,600.00"
Linda Sanchez,37,"73,500.00"
Congressional Black Caucus PAC,19,"73,000.00"
Rep. Greg Walden,34,"72,300.00"
Rep Steny H Hoyer,23,"72,000.00"
Ron Kind,51,"71,600.00"
Pete Aguilar,38,"71,500.00"
Drew Ferguson,44,"71,300.00"
John Barrasso,27,"71,250.00"
Jodey Arrington,53,"71,100.00"
Marco Rubio,44,"70,900.00"
Andy Barr,43,"70,180.62"
American Bankers Association ,1,"70,000.00"
Congressional Members of CBCF,1,"70,000.00"
Gregory Meeks,41,"69,439.71"
Jack Reed,41,"69,300.00"
Rep Hakeem S Jeffries,21,"69,000.00"
John Thune,29,"68,000.00"
Rep. Richard Neal,34,"67,750.00"
Marc Veasey,43,"67,250.00"
Darin LaHood,51,"67,100.00"
Scott Peters,42,"66,650.00"
Debbie Stabenow,30,"66,500.00"
Shelley Moore Capito,41,"66,380.00"
Steven Daines,26,"66,000.00"
Richard Durbin,23,"66,000.00"
Ron Estes,44,"65,950.00"
Rep Cheri L Bustos,27,"65,500.00"
Ben McAdams,47,"65,412.50"
Michael Crapo,26,"65,200.00"
Tom Emmer,30,"64,849.98"
Rep. Nancy Pelosi,23,"64,600.00"
Ann Wagner,37,"64,400.00"
Cedric Richmond,36,"63,877.00"
Henry Cuellar,36,"63,800.00"
Richard Hudson,50,"62,750.00"
Jackie Walorski,47,"62,250.00"
Rep. Kurt Schrader,33,"62,250.00"
Rosemary Becchi,74,"62,100.00"
Sen. Steve Daines,34,"61,500.00"
Rep Richard E Neal,24,"61,500.00"
Billy Long,30,"61,250.00"
Robin Kelly,30,"61,250.00"
Earl Blumenauer,32,"61,000.00"
Sen. Thom Tillis,44,"60,500.00"
Sen Mitch McConnell,22,"60,500.00"
Lindsey Graham,32,"60,000.00"
Devin Nunes,33,"59,876.00"
John Katko,45,"59,800.00"
Rep Steve J Scalise,17,"59,500.00"
Brad Schneider,46,"59,480.00"
Rep. Steve Scalise,17,"59,000.00"
Sen John Cornyn III,20,"58,500.00"
Sen Dick Durbin,16,"58,500.00"
Eliot Engel,29,"57,800.00"
Tom O'Halleran,52,"57,275.00"
Tom Carper,33,"56,700.00"
Bryan Steil,41,"56,686.41"
Jeff Sessions,31,"56,300.00"
Senator John Cornyn,35,"56,200.00"
Rick Larsen,22,"56,000.00"
Lisa Murkowski,34,"55,950.00"
Katherine Clark,34,"55,700.00"
Derek Kilmer,32,"55,580.00"
Senator Mark Warner,38,"55,500.00"
Lonnie G. Bunch III ,1,"55,433.00"
Donald Norcross,31,"55,350.00"
Lee Zeldin,42,"55,250.00"
Rep. Steny Hoyer,26,"55,250.00"
Dan Kildee,47,"54,500.00"
Rep Thomas E Emmer Jr,25,"54,500.00"
Emanuel Cleaver,24,"54,250.00"
Marsha Blackburn,23,"54,250.00"
Sen. Susan Collins,28,"54,225.00"
Kelly Armstrong,35,"54,000.00"
Sen Rick Scott,16,"54,000.00"
Senator Mitch McConnell & Secretary Elaine L. Chao,1,"53,906.00"
Debbie Dingell,33,"53,800.00"
National Republican Congressional Committee (NRCC),28,"53,800.00"
Jimmy Panetta,44,"53,750.00"
Rosa DeLauro,31,"53,750.00"
Chris Coons,41,"53,570.20"
Sen Todd C Young,22,"53,500.00"
Denver Riggleman,39,"53,400.00"
Jacky Rosen,35,"53,250.00"
Bennie Thompson,28,"53,250.00"
Jon Tester,25,"53,073.00"
George Holding,31,"53,000.00"
Jim Costa,29,"53,000.00"
Don Bacon,27,"52,500.00"
Sen Thom R Tillis,25,"52,500.00"
Sen Jerry Moran,18,"52,500.00"
Sen. John Cornyn,37,"52,213.00"
Bill Cassidy,29,"52,050.00"
Rep Jason T Smith,21,"52,000.00"
Vern Buchanan,31,"51,300.00"
John Larson,31,"51,250.00"
Sen. Cory Gardner,41,"51,247.32"
Roger Williams,30,"51,000.00"
Sen. Mark Warner,31,"50,797.32"
Bob Latta,35,"50,260.50"
Mike Rounds,30,"50,250.00"
President George H.W. Bush,2,"50,250.00"
Anthony Gonzalez,46,"50,100.00"
Annual Gala Sponsorship,1,"50,000.00"
DNC SERVICES CORPORATION/DEMOCRATIC NATIONAL COMMI,1,"50,000.00"
"Senators Blunt, Boozman, Cassidy, Collins, Coons, Cortez Masto, Isakson, Murkowski, Murray, Reed; Wicker, and Young; Representatives Courtney, Perry, Scott:  Honored",1,"50,000.00"
WORKING AMERICA,1,"50,000.00"
Ronald Reagan Presidential Foundation and Institute,1,"50,000.00"
"VICKI CHRISTIANSEN, CHIEF, U.S. DEPT. OF AGRICULTURE'S FOREST SERVICE (NFF BOARD MEMBER)",1,"50,000.00"
Congressional Black Caucus Institute Tunica Policy Sponsorship,1,"50,000.00"
Reagan Presidential Foundation and Institute ,1,"50,000.00"
"""Congressman Jesus """"Chuy"""" Garcia""",1,"50,000.00"
Congressman Al Green,1,"50,000.00"
Board of Directors includes Members of Congress ,1,"50,000.00"
Pres. Ronald Reagan,1,"50,000.00"
New Democrat Coalition Action Fund,18,"49,750.00"
Andy Kim,36,"49,660.94"
Bill Johnson,26,"49,500.00"
Moderate Democrats PAC,15,"49,500.00"
Senator Susan Collins,35,"49,100.00"
Ron Wyden,23,"49,000.00"
Sen Steve Daines,22,"49,000.00"
Rep Cathy A McMorris Rodgers,21,"49,000.00"
Sen. Rob Portman,35,"48,750.00"
Garret Graves,34,"48,750.00"
Colin Allred,42,"48,078.94"
Lisa Blunt Rochester,28,"47,800.00"
Tom Cole,33,"47,700.00"
Mike Bost,23,"47,500.00"
Rep Nancy Pelosi,12,"47,500.00"
Jason Smith,36,"47,000.00"
William Cassidy,18,"47,000.00"
Sen Tina Smith,17,"47,000.00"
Rep Kevin P Brady,16,"47,000.00"
Rep. Barbara Lee,6,"47,000.00"
Adrian Smith,35,"46,900.00"
Susie Lee,36,"46,715.95"
Rep. Patrick McHenry,31,"46,647.32"
Tom Graves,23,"46,599.98"
Ruben Gallego,31,"46,500.00"
Sen Joni K Ernst,16,"46,500.00"
Brian Schatz,27,"46,289.17"
Deb Fischer,43,"46,250.00"
John Boozman,22,"46,200.00"
Doris Matsui,32,"46,000.00"
Michael McCaul,24,"46,000.00"
Sanford Bishop,30,"45,750.00"
Virginia Foxx,23,"45,750.00"
David Young,56,"45,500.00"
David Scott,21,"45,500.00"
Sen Ben Sasse,15,"45,500.00"
Tammy Duckworth,23,"45,325.00"
Guy Reschenthaler,34,"45,250.00"
Buddy Carter,31,"45,250.00"
David Kustoff,26,"45,000.00"
Rep Rodney L Davis,24,"45,000.00"
SEN. TODD YOUNG,9,"45,000.00"
Congressional Black Caucus Foundation Board Members,2,"45,000.00"
CHCI,1,"45,000.00"
DNC CONVENTION FUND,1,"45,000.00"
DNC-LEGAL FUND,1,"45,000.00"
DSCC - BUILDING FUND,1,"45,000.00"
Democratic Congressional Candidates and Members/ Building Fund,1,"45,000.00"
Democratic Congressional Candidates and Members/ Legal Fund,1,"45,000.00"
Don Beyer,31,"44,925.00"
Jeff Merkley,16,"44,750.00"
G.K. Butterfield,27,"44,500.00"
Sen James M Inhofe,18,"44,500.00"
Members of the DSCC,5,"44,500.00"
Ed Markey,43,"44,400.00"
Senator Gary Peters,34,"44,400.00"
Martin Heinrich,33,"44,168.00"
Suzan DelBene,35,"44,150.00"
Sen. Lindsey Graham,20,"44,063.66"
Mario Diaz-Balart,23,"44,000.00"
Jim Inhofe,38,"43,950.00"
David Rouzer,28,"43,600.00"
Sen. Jerry Moran,23,"43,547.32"
Chrissy Houlahan,43,"43,501.94"
Mike Crapo,19,"43,500.00"
Anthony Brown,35,"43,457.00"
Vicente Gonzalez,26,"43,000.00"
Rep Richard L Hudson Jr,20,"43,000.00"
Elizabeth Cheney,19,"43,000.00"
Joseph Courtney,18,"43,000.00"
Various Republican Senatorial Candidates,5,"43,000.00"
Brett Guthrie,31,"42,650.00"
Sen. Kyrsten Sinema,21,"42,500.00"
Sen Cory S Gardner,18,"42,500.00"
Rep Tom Graves Jr,16,"42,500.00"
Sen Shelley Moore Capito,15,"42,500.00"
Rep. Tom Reed,31,"42,347.32"
Sen. Gary Peters,42,"42,094.35"
Senator Rob Portman,37,"42,000.00"
Adam Kinzinger,37,"42,000.00"
Doug Collins,27,"41,905.00"
Sam Graves,20,"41,750.00"
Rep. Susan Brooks; Rep. Greg Walden; Sen. Shelley Moore Capito; Sen. Cory Gardner,2,"41,650.00"
Brian Higgins,29,"41,600.00"
Rep Andy Barr IV,20,"41,500.00"
Rep. Liz Cheney,26,"41,400.00"
Lance Gooden,23,"41,240.00"
Robert Aderholt,17,"41,234.76"
Sen Martha E McSally,21,"41,000.00"
Rep Mike Kelly Jr,18,"41,000.00"
Rep Stephanie Murphy,17,"41,000.00"
Sen. Tammy Baldwin,6,"41,000.00"
"Rep. Cedric Richmond, Rep. Sheila Jackson Lee, Rep. Joyce Beatty, Rep. Dwight Evans, Rep. Marcia Fudge, Rep. Alcee Hastings, Rep. Karen Bass",2,"40,825.00"
Mike Kelly,32,"40,800.00"
Haley Stevens,60,"40,638.00"
Rep Elise M Stefanik,20,"40,500.00"
Sen Mike D Crapo,17,"40,500.00"
Rep Frank J Pallone Jr,16,"40,500.00"
Chris Stewart,27,"40,435.29"
Tim Kaine,21,"40,400.00"
Rep. Drew Ferguson,23,"40,200.00"
n/a,45,"40,135.00"
Sen. Tina Smith,24,"40,000.00"
Rep Darin M LaHood,23,"40,000.00"
Gwendolynne Moore,21,"40,000.00"
George W. Bush,2,"40,000.00"
Sponsorship of the 2019 Annual Legislative Conference.,1,"40,000.00"
Sen. David Perdue,26,"39,847.32"
Sara Gideon,24,"39,625.00"
Jim Risch,25,"39,500.00"
Brian Babin,24,"39,500.00"
Sherrod Brown,19,"39,500.00"
Sen John A Barrasso,14,"39,500.00"
Sen. Doug Jones,28,"39,400.00"
Debbie Mucarsel-Powell,28,"39,320.94"
Patrick Leahy,21,"39,200.00"
John Yarmuth,19,"39,100.00"
Rep. Richard Hudson,26,"39,000.00"
Brad Wenstrup,25,"39,000.00"
Adam Schiff,22,"39,000.00"
Rep Brett Guthrie,19,"39,000.00"
Rep Patrick T McHenry,12,"39,000.00"
"Cedric Richmond, Joyce Beatty, Dwight Evans, Marcia L. Fudge, Alcee Hastings, Sheila Jackson Lee, Karen Bass",2,"39,000.00"
Mark Pocan,19,"38,950.00"
Sen. Martha McSally,22,"38,750.00"
Tony Cardenas,31,"38,500.00"
French Hill,25,"38,500.00"
John Kennedy,24,"38,500.00"
Rep Sam B Graves Jr,23,"38,500.00"
Sen Gary C Peters,14,"38,500.00"
Rep. Cheri Bustos,22,"38,250.00"
Kevin Hern,22,"38,210.00"
Rep Bruce Westerman,14,"38,000.00"
Rep Ron Estes,10,"38,000.00"
Michael Burgess,27,"37,950.00"
Liz Cheney,21,"37,900.00"
John Moolenaar,30,"37,600.00"
Sen Kyrsten Sinema,20,"37,500.00"
Congressional Hispanic Caucus Institute,3,"37,500.00"
Cindy Hyde-Smith,27,"37,450.00"
John Carter,33,"37,420.00"
Dutch Ruppersberger,22,"37,000.00"
Sen Rob J Portman,20,"37,000.00"
Rep. Tom Emmer,18,"37,000.00"
Sen Roger F Wicker,10,"37,000.00"
Senator Thom Tillis,33,"36,650.00"
Rep. Stephanie Murphy,22,"36,625.00"
Sen. Pat Toomey,26,"36,500.00"
Cal Cunningham,25,"36,500.00"
Sen John Thune,17,"36,500.00"
Rep Dave P Joyce,12,"36,500.00"
Brenda Lawrence,27,"36,427.00"
Jared Huffman,21,"36,200.00"
Mike Quigley,22,"36,000.00"
Paul Tonko,25,"35,850.00"
Roger Marshall,26,"35,821.23"
Rep. Peter DeFazio,25,"35,800.00"
Jim Himes,27,"35,750.00"
Rep. Judy Chu,7,"35,725.00"
Lauren Underwood,39,"35,644.00"
Greg Stanton,29,"35,500.00"
Rep Kurt Schrader,17,"35,500.00"
THE DEMOCRATIC SENATORIAL CAMPAIGN COMMITTEE,2,"35,500.00"
Karen Bass,29,"35,313.00"
Congressman Steny Hoyer,14,"35,300.00"
Mike Braun,25,"35,250.00"
Sharice Davids,64,"35,195.48"
Rep Ann L Wagner,20,"35,000.00"
Collin Peterson,19,"35,000.00"
Rep Gregory W Meeks,16,"35,000.00"
Sen Jon Tester,13,"35,000.00"
Sen Sherrod C Brown,9,"35,000.00"
"Pelosi, Nancy",3,"35,000.00"
Members of Congressional Black Caucus,3,"35,000.00"
Sponsorship of the 2019 Asian American Literature Festival.,1,"35,000.00"
Sponsorship of the CHCI Leadership Conference and Annual Awards Gala.,1,"35,000.00"
CBCF,1,"35,000.00"
"Rep. Suzan DelBene, Rep. French Hill (2019 Co-Chairs) and Members hosting Congressional App Challenge",1,"35,000.00"
"Reps. Cedric Richmond, Joyce Beatty, Emanuel Cleaver, Dwight Evans, Marcia Fudge, Alcee Hastings, Sheila Jackson Lee, and Barbara Lee",1,"35,000.00"
Tim Ryan,26,"34,975.00"
John Garamendi,24,"34,927.00"
Jahana Hayes,27,"34,904.00"
Rep. Terri Sewell,24,"34,897.32"
Bill Huizenga,25,"34,750.00"
Lucy McBath,42,"34,634.00"
Rep. Hakeem Jeffries,21,"34,600.00"
Anna Eshoo,25,"34,500.00"
Rep Robert E Latta,19,"34,500.00"
Rep Roger Williams,17,"34,500.00"
John Lewis,17,"34,500.00"
Rep Steve E Stivers,17,"34,500.00"
Richard Shelby,15,"34,500.00"
Rep Bradley S Schneider,14,"34,500.00"
Rep. Darin LaHood,30,"34,300.00"
Dan McCready,28,"34,270.00"
Angie Craig,47,"34,263.00"
John Hoeven,21,"34,250.00"
The Honorable Vern Buchanan,12,"34,250.00"
Jennifer Wexton,43,"34,139.44"
Sen Tim E Scott,17,"34,000.00"
Bobby Scott,13,"34,000.00"
Glenn Thompson,29,"33,966.00"
Trent Kelly,19,"33,950.00"
Expenses for United Association Legislative Luncheon. Brian Fitzpatrick honored as Legislator of Year during event.,1,"33,889.78"
Charlie Crist,26,"33,750.00"
Congressman Kevin McCarthy,13,"33,750.00"
Congressman Patrick McHenry,12,"33,700.00"
David Price,28,"33,500.00"
Rep. Brett Guthrie,19,"33,500.00"
Sen Pat J Toomey,17,"33,500.00"
Sen. Jacky Rosen,17,"33,500.00"
CHC Bold PAC,10,"33,500.00"
Sylvia Garcia,23,"33,250.00"
Rep. Kevin Brady,14,"33,250.00"
Sen. Jack Reed,22,"33,150.00"
Carolyn Maloney,14,"33,100.00"
Antonio Delgado,33,"33,035.94"
Douglas  Collins,18,"33,000.00"
Rep Bryan G Steil,18,"33,000.00"
Rep Billy Long,16,"33,000.00"
Theodore (Ted) P. Budd,13,"33,000.00"
Sen. Roger Wicker,18,"32,750.00"
Senator Cory Gardner,30,"32,500.00"
Brendan Boyle,21,"32,500.00"
Gerry Connolly,21,"32,500.00"
Rep Tony Cardenas,20,"32,500.00"
Ron Johnson,16,"32,500.00"
Sen Doug Jones,15,"32,500.00"
James Lankford,22,"32,468.00"
Sen. John Thune,28,"32,250.00"
Senator Joni Ernst,22,"32,200.00"
Rick Scott,22,"32,200.00"
Steve Womack,23,"32,000.00"
Rep Jim Costa,16,"32,000.00"
Rep Ed Perlmutter,12,"32,000.00"
Harley Rouda,18,"31,951.95"
Ken Calvert,29,"31,850.00"
Ann Kirkpatrick,30,"31,814.45"
Rep. Rodney Davis,30,"31,800.00"
Senator Roy Blunt,21,"31,800.00"
Abby Finkenauer,31,"31,659.94"
Yvette Clarke,27,"31,650.00"
Rep Ron J Kind,21,"31,500.00"
David Schweikert,18,"31,500.00"
Rep Terri Sewell,17,"31,500.00"
Sen Lindsey Graham,14,"31,500.00"
Sen Tom R Carper,14,"31,500.00"
Sen Mark R Warner,14,"31,500.00"
Senator Jack Reed,21,"31,360.00"
Lloyd Smucker,20,"31,250.00"
National Republican Senatorial Committee (NRSC),9,"31,250.00"
Trey Hollingsworth,29,"31,000.00"
Rep Blaine Luetkemeyer,16,"31,000.00"
Rep Drew Ferguson IV,16,"31,000.00"
S. Raja Krishnamoorthi,15,"31,000.00"
Rep Vicente Gonzalez,13,"31,000.00"
Sen Christopher A Coons,12,"31,000.00"
Joseph Manchin,10,"31,000.00"
Sen. Bill Cassidy,21,"30,925.00"
Dwight Evans,26,"30,750.00"
Senator Steve Daines,17,"30,750.00"
Speaker Nancy Pelosi,14,"30,655.00"
Raja Krishnamoorthi,23,"30,590.20"
Bill Foster,22,"30,550.00"
Rep. Tom Graves,15,"30,547.32"
Richard Blumenthal,21,"30,500.00"
Rep. Michael Burgess,19,"30,500.00"
David Joyce,17,"30,500.00"
Rep Buddy Carter,15,"30,500.00"
Rep Greg P Walden,12,"30,500.00"
Tom Cotton,19,"30,300.00"
Sen. Chris Coons,16,"30,300.00"
Darren Soto,31,"30,250.00"
William Timmons,25,"30,250.00"
Vicky Hartzler,17,"30,250.00"
Dan Bishop,25,"30,200.00"
Eddie Johnson,14,"30,200.00"
Jackie Gordon,7,"30,050.00"
Marcy Kaptur,16,"30,000.00"
Sen. Ben Sasse,12,"30,000.00"
Sen Mike Lee,11,"30,000.00"
SEN. BILL CASSIDY,6,"30,000.00"
Sen. Margaret Wood Hassan,4,"30,000.00"
Sen Mitch Mcconnell,3,"30,000.00"
RNC,2,"30,000.00"
Thomas Perez,2,"30,000.00"
DNC - BUILDING FUND,1,"30,000.00"
"Rep. Bennie Thompson, Rep. James Clyburn and Rep. Cedric Richmond",1,"30,000.00"
Congressional Hispanic Leadership Institute Inc.,1,"30,000.00"
Members of Congress that are members of the Congressional Hispanic Caucus Institute,1,"30,000.00"
Congressman David Cicilline; Congresswoman Angie Craig; Congresswoman Sharice Davids; Congresswoman Deb Haaland; Congresswoman Pramila Jayapal; Senator Bernie Sanders; Congressman Mark Takano; ,1,"30,000.00"
Rep. Steve Scalise's leadership PAC,1,"30,000.00"
"Rep. Pete Aguilar, Rep. Rueben Gallego, Rep. Jimmy Gomez, Rep. Grace Flores Napolitano, Rep. Raul Ruiz, Rep. Juan Vargas",1,"30,000.00"
Donald J. Trump,11,"29,891.98"
Dave Joyce,23,"29,750.00"
Joe Wilson,25,"29,652.18"
Rep. Collin Peterson,16,"29,500.00"
Rep Bill P Huizenga,11,"29,500.00"
Brian Mast,22,"29,250.00"
Rep. Derek Kilmer,20,"29,250.00"
Theresa Greenfield,26,"29,050.00"
Ed Perlmutter,17,"29,050.00"
Ted Cruz,19,"29,000.00"
Equality PAC,18,"29,000.00"
Rep Ted P Budd,17,"29,000.00"
Rep John M Katko,13,"29,000.00"
Nick Colvin,27,"28,750.00"
Rep. Jackie Walorski,24,"28,750.00"
Rep. Blaine Luetkemeyer,21,"28,750.00"
Rep. Dan Newhouse,15,"28,750.00"
Congressman Richard Neal,13,"28,750.00"
Rep. Kevin McCarthy ,4,"28,614.98"
Sen. Mike Crapo,13,"28,600.00"
Rep. Tony Cardenas,20,"28,500.00"
Rep. Cedric Richmond,18,"28,500.00"
Rep French Hill,17,"28,500.00"
Scott Tipton,16,"28,500.00"
Sen. Roy Blunt,15,"28,500.00"
Rep. Steve Stivers,15,"28,500.00"
Sen Jeanne Shaheen,13,"28,500.00"
Rep Jim Himes,13,"28,500.00"
Rep Tom W Reed II,12,"28,500.00"
Rep. Richard E. Neal,10,"28,500.00"
Senator Tina Smith,17,"28,350.00"
Mike Johnson,22,"28,250.00"
Rep. Mike Kelly,20,"28,000.00"
Rep Scott Peters,16,"28,000.00"
Sen Mike Rounds,13,"28,000.00"
Sen Deb Fischer,11,"28,000.00"
Sen John N Boozman,11,"28,000.00"
Sen Chuck Grassley,10,"28,000.00"
Sen Chris J Van Hollen Jr,7,"28,000.00"
CHC BOLD PAC,7,"28,000.00"
Republican Party of Kentucky,7,"28,000.00"
To be determined,2,"28,000.00"
Dina Titus,17,"27,750.00"
Raul Ruiz,23,"27,700.00"
Members of the NRSC,6,"27,700.00"
Amy McGrath,60,"27,625.00"
Pete Stauber,18,"27,510.00"
Bruce Westerman,18,"27,500.00"
Bob Menendez,15,"27,500.00"
Rep Markwayne Mullin,15,"27,500.00"
Rep Liz L Cheney,13,"27,500.00"
Sen David A Perdue Jr,12,"27,500.00"
Rep Sean P Maloney,10,"27,500.00"
Matt Bevin,4,"27,500.00"
Rep. Judy Chu: Board Member,2,"27,500.00"
Sponsorship of the Purpose Prize Event.,1,"27,500.00"
Rep. Vern Buchanan,20,"27,397.32"
Sen. Joni Ernst,29,"27,125.00"
Sen. Mike Rounds,18,"27,107.32"
Rep. Paul Tonko,19,"27,000.00"
Chuck Grassley,17,"27,000.00"
Sen Bill Cassidy,15,"27,000.00"
Rep Suzan K DelBene,13,"27,000.00"
Rep Bill Foster,13,"27,000.00"
Maggie Hassan,12,"27,000.00"
John Joyce,20,"26,795.68"
Grace Meng,28,"26,750.00"
Congressman Steve Scalise,12,"26,700.00"
Rep. Billy Long,8,"26,600.00"
Clay Higgins,16,"26,500.00"
George J. (Mike) Kelly,16,"26,500.00"
Rep Anthony E Gonzalez,16,"26,500.00"
Rep Lisa Blunt Rochester,12,"26,500.00"
Charles Grassley,12,"26,500.00"
Abigail Spanberger,48,"26,483.94"
Blue Dog PAC,17,"26,416.67"
Jimmy Gomez,20,"26,250.00"
John Hickenlooper,32,"26,153.00"
John Curtis,23,"26,100.00"
Sen. Tom Cotton,16,"26,077.00"
Rep. Debbie Dingell,21,"26,050.00"
Markwayne Mullin,27,"26,000.00"
Julia Brownley,19,"26,000.00"
Sean Patrick Maloney,19,"26,000.00"
Senator David Perdue,18,"26,000.00"
Rep. Earl Blumenauer,14,"26,000.00"
Rep Ben McAdams,14,"26,000.00"
Stephen Cohen,12,"26,000.00"
Sen. Tim Scott,12,"26,000.00"
Sen Debbie A Stabenow,10,"26,000.00"
Senator Charles Schumer,8,"26,000.00"
Sen Tammy Duckworth,7,"26,000.00"
Rep. Kay Granger (R-TX),2,"26,000.00"
George P. Bush,2,"26,000.00"
Michael Blake,20,"25,831.80"
U.S. Senator Mitch McConnell,10,"25,800.00"
Betty McCollum,18,"25,750.00"
Rep. Brendan Boyle,15,"25,750.00"
Christopher Smith,12,"25,750.00"
Elect Democratic Women,9,"25,750.00"
Warren Davidson,23,"25,668.26"
Sen. Dan Sullivan,16,"25,550.00"
Lou Correa,27,"25,500.00"
Dusty Johnson,16,"25,500.00"
